nama_kabupaten_kota,tahun,jumlah_kasus,persentase_sanitasi_layak,jumlah_puskesmas,kepadatan_penduduk,Cluster_ID,Kategori_Resiko
KABUPATEN CIANJUR,2022,2,92.89,47,700,0,Sangat Rendah
KABUPATEN BANDUNG,2022,7,100.0,62,2136,0,Sangat Rendah
KABUPATEN GARUT,2022,9,93.47,67,847,0,Sangat Rendah
KABUPATEN TASIKMALAYA,2022,29,89.74,40,705,0,Sangat Rendah
KABUPATEN CIAMIS,2022,1,83.77,37,782,0,Sangat Rendah
KABUPATEN KUNINGAN,2022,1,95.33,37,1003,0,Sangat Rendah
KABUPATEN CIREBON,2022,3,91.26,60,2150,0,Sangat Rendah
KABUPATEN MAJALENGKA,2022,2,97.26,32,1004,0,Sangat Rendah
KABUPATEN SUMEDANG,2022,6,98.47,35,745,0,Sangat Rendah
KABUPATEN INDRAMAYU,2022,10,91.84,49,902,0,Sangat Rendah
KABUPATEN SUBANG,2022,3,97.49,40,750,0,Sangat Rendah
KABUPATEN PURWAKARTA,2022,3,86.69,20,1036,0,Sangat Rendah
KABUPATEN KARAWANG,2022,4,55.29,50,1309,1,Rendah
KABUPATEN BEKASI,2022,4,92.59,46,2570,0,Sangat Rendah
KABUPATEN BANDUNG BARAT,2022,1,91.09,32,1439,0,Sangat Rendah
KABUPATEN PANGANDARAN,2022,6,82.73,15,383,0,Sangat Rendah
KOTA BOGOR,2022,39,62.37,25,9550,2,Sedang
KOTA SUKABUMI,2022,9,95.48,15,7377,2,Sedang
KOTA BANDUNG,2022,41,100.0,80,14776,2,Sedang
KOTA CIREBON,2022,1,86.66,22,8646,2,Sedang
KOTA BEKASI,2022,25,93.03,48,12159,2,Sedang
KOTA DEPOK,2022,209,99.26,38,10622,3,Tinggi
KOTA CIMAHI,2022,43,83.05,13,13557,2,Sedang
KOTA TASIKMALAYA,2022,1,63.84,22,3988,1,Rendah
KOTA BANJAR,2022,0,98.98,10,1576,0,Sangat Rendah
KABUPATEN BOGOR,2023,22,68.41,101,1881,1,Rendah
KABUPATEN SUKABUMI,2023,28,100.0,58,673,0,Sangat Rendah
KABUPATEN CIANJUR,2023,4,68.71,47,704,1,Rendah
KABUPATEN BANDUNG,2023,4,99.74,62,2138,0,Sangat Rendah
KABUPATEN GARUT,2023,36,88.94,67,865,0,Sangat Rendah
KABUPATEN TASIKMALAYA,2023,12,64.47,40,705,1,Rendah
KABUPATEN CIAMIS,2023,3,92.94,37,784,0,Sangat Rendah
KABUPATEN KUNINGAN,2023,4,94.62,37,1007,0,Sangat Rendah
KABUPATEN CIREBON,2023,0,95.59,60,2202,0,Sangat Rendah
KABUPATEN MAJALENGKA,2023,10,98.72,32,1008,0,Sangat Rendah
KABUPATEN SUMEDANG,2023,2,98.62,35,752,0,Sangat Rendah
KABUPATEN INDRAMAYU,2023,4,96.0,49,912,0,Sangat Rendah
KABUPATEN SUBANG,2023,7,100.0,40,762,0,Sangat Rendah
KABUPATEN PURWAKARTA,2023,4,63.14,20,1044,1,Rendah
KABUPATEN KARAWANG,2023,17,59.81,50,1320,1,Rendah
KABUPATEN BEKASI,2023,1,92.28,46,2588,0,Sangat Rendah
KABUPATEN BANDUNG BARAT,2023,0,92.82,32,1449,0,Sangat Rendah
KABUPATEN PANGANDARAN,2023,9,100.0,15,382,0,Sangat Rendah
KOTA BOGOR,2023,69,67.45,25,9614,2,Sedang
KOTA SUKABUMI,2023,4,95.53,15,7465,2,Sedang
KOTA BANDUNG,2023,24,100.0,80,15047,2,Sedang
KOTA CIREBON,2023,18,99.18,22,8671,2,Sedang
KOTA BEKASI,2023,28,96.29,47,12332,2,Sedang
KOTA DEPOK,2023,157,99.09,38,10732,3,Tinggi
KOTA CIMAHI,2023,51,74.96,13,13924,2,Sedang
KOTA TASIKMALAYA,2023,9,29.66,22,4033,1,Rendah
KOTA BANJAR,2023,2,86.95,10,1584,0,Sangat Rendah
KABUPATEN BOGOR,2024,21,88.77,101,1899,1,Rendah
KABUPATEN SUKABUMI,2024,6,100.0,58,679,0,Sangat Rendah
KABUPATEN CIANJUR,2024,16,69.99,47,712,1,Rendah
KABUPATEN BANDUNG,2024,21,96.79,62,2156,0,Sangat Rendah
KABUPATEN GARUT,2024,28,91.34,67,876,0,Sangat Rendah
KABUPATEN TASIKMALAYA,2024,16,75.62,40,710,0,Sangat Rendah
KABUPATEN CIAMIS,2024,2,95.16,37,789,0,Sangat Rendah
KABUPATEN KUNINGAN,2024,0,96.34,37,1018,0,Sangat Rendah
KABUPATEN CIREBON,2024,2,96.24,60,2228,0,Sangat Rendah
KABUPATEN MAJALENGKA,2024,19,98.11,32,1017,0,Sangat Rendah
KABUPATEN SUMEDANG,2024,40,98.99,35,758,0,Sangat Rendah
KABUPATEN INDRAMAYU,2024,3,97.96,49,922,0,Sangat Rendah
KABUPATEN SUBANG,2024,6,100.0,40,768,0,Sangat Rendah
KABUPATEN PURWAKARTA,2024,3,95.78,20,1058,0,Sangat Rendah
KABUPATEN KARAWANG,2024,0,77.53,50,1335,0,Sangat Rendah
KABUPATEN BEKASI,2024,0,97.0,51,2617,0,Sangat Rendah
KABUPATEN BANDUNG BARAT,2024,3,94.91,32,1468,0,Sangat Rendah
KABUPATEN PANGANDARAN,2024,13,100.0,15,385,0,Sangat Rendah
KOTA BOGOR,2024,36,72.93,25,9683,2,Sedang
KOTA SUKABUMI,2024,14,95.53,15,7571,2,Sedang
KOTA BANDUNG,2024,51,69.46,80,15176,2,Sedang
KOTA CIREBON,2024,4,95.38,22,8744,2,Sedang
KOTA BEKASI,2024,18,99.62,48,12411,2,Sedang
KOTA DEPOK,2024,94,99.46,38,10823,2,Sedang
KOTA CIMAHI,2024,54,78.58,13,14110,2,Sedang
KOTA TASIKMALAYA,2024,6,34.56,22,4081,1,Rendah
KOTA BANJAR,2024,1,99.11,10,1601,0,Sangat Rendah
